date,meantemp,meantemp_rolling_7d,meantemp_lag_1d,meantemp_rolling_30d,meantemp_lag_7d,meanpressure,meanpressure_lag_1d,meanpressure_lag_7d,season_winter,humidity_rolling_30d,humidity_rolling_7d,humidity,humidity_lag_1d,humidity_lag_7d,season_summer,wind_speed_lag_7d,season_spring,wind_speed_lag_1d,wind_speed,month,day_of_year,target
2013-01-09,14.0,8.441496598639457,8.857142857142858,8.636309523809524,10.0,1017.0,1018.7142857142856,1015.6666666666666,1,75.96636904761904,74.74727891156462,51.25,63.714285714285715,84.5,0,0.0,0,7.142857142857143,12.5,1,9,11.0
2013-01-10,11.0,8.95578231292517,14.0,8.898941798941799,7.4,1015.6666666666666,1017.0,1017.8,1,74.41455026455026,71.53299319727891,62.0,51.25,84.5,0,2.98,0,12.5,7.4,1,10,15.714285714285714
2013-01-11,15.714285714285714,10.17687074829932,11.0,9.58047619047619,7.166666666666667,1016.1428571428572,1015.6666666666666,1018.6666666666666,1,72.10166666666666,66.43095238095238,51.285714285714285,62.0,87.0,0,4.633333333333334,0,7.4,7.4,1,11,14.0
2013-01-12,14.0,10.93877551020408,15.714285714285714,9.982251082251082,8.666666666666666,1015.5714285714286,1016.1428571428572,1017.1666666666666,1,72.27424242424242,66.81190476190476,74.0,51.285714285714285,71.33333333333333,0,1.2333333333333334,0,7.4,13.228571428571428,1,12,12.833333333333334
2013-01-14,12.833333333333334,11.914965986394558,14.0,10.21984126984127,6.0,1015.1666666666666,1015.5714285714286,1016.5,1,73.59861111111111,67.00238095238096,88.16666666666667,74.0,86.83333333333333,0,3.7,0,13.228571428571428,0.6166666666666667,1,14,14.714285714285714
2013-01-15,14.714285714285714,13.017006802721088,12.833333333333334,10.565567765567764,7.0,1015.8571428571428,1015.1666666666666,1020.0,1,73.46465201465202,66.03911564625851,71.85714285714286,88.16666666666667,78.6,0,6.3,0,0.6166666666666667,0.5285714285714286,1,15,13.833333333333334
2013-01-16,13.833333333333334,13.727891156462585,14.714285714285714,10.798979591836735,8.857142857142858,1016.6666666666666,1015.8571428571428,1018.7142857142856,1,74.40765306122448,69.31802721088435,86.66666666666667,71.85714285714286,63.714285714285715,0,7.142857142857143,0,0.5285714285714286,0.0,1,16,16.5
2013-01-17,16.5,14.08503401360544,13.833333333333334,11.17904761904762,14.0,1015.8333333333334,1016.6666666666666,1017.0,1,74.83603174603175,73.54421768707483,80.83333333333333,86.66666666666667,51.25,0,12.5,0,0.0,0.0,1,17,13.833333333333334
2013-01-18,13.833333333333334,14.489795918367347,16.5,11.344940476190477,11.0,1014.5,1015.8333333333334,1015.6666666666666,1,75.91919642857142,77.85374149659864,92.16666666666669,80.83333333333333,62.0,0,7.4,0,0.0,8.950000000000001,1,18,12.5
2013-01-19,12.5,14.03061224489796,13.833333333333334,11.412885154061623,15.714285714285714,1021.6666666666666,1014.5,1016.1428571428572,1,75.96316526610644,81.4795918367347,76.66666666666667,92.16666666666669,51.285714285714285,0,7.4,0,8.950000000000001,5.883333333333333,1,19,11.285714285714286
2013-01-20,11.285714285714286,13.642857142857142,12.5,11.405820105820103,14.0,1020.2857142857144,1021.6666666666666,1015.5714285714286,1,75.9255291005291,81.66326530612245,75.28571428571429,76.66666666666667,74.0,0,13.228571428571428,0,5.883333333333333,8.471428571428572,1,20,11.2
