date,meantemp,meantemp_rolling_7d,meantemp_lag_1d,meantemp_rolling_30d,meantemp_lag_7d,meanpressure,meanpressure_lag_1d,meanpressure_lag_7d,season_winter,humidity_rolling_30d,humidity_rolling_7d,humidity,humidity_lag_1d,humidity_lag_7d,season_summer,wind_speed_lag_7d,wind_speed_lag_1d,wind_speed,season_spring,target
2013-01-09,14.0,8.441496598639457,8.857142857142858,8.636309523809524,10.0,1017.0,1018.7142857142856,1015.6666666666666,1,75.96636904761904,74.74727891156462,51.25,63.714285714285715,84.5,0,0.0,7.142857142857143,12.5,0,11.0
2013-01-10,11.0,8.95578231292517,14.0,8.898941798941799,7.4,1015.6666666666666,1017.0,1017.8,1,74.41455026455026,71.53299319727891,62.0,51.25,84.5,0,2.98,12.5,7.4,0,15.714285714285714
2013-01-11,15.714285714285714,10.17687074829932,11.0,9.58047619047619,7.166666666666667,1016.1428571428572,1015.6666666666666,1018.6666666666666,1,72.10166666666666,66.43095238095238,51.285714285714285,62.0,87.0,0,4.633333333333334,7.4,7.4,0,14.0
2013-01-12,14.0,10.93877551020408,15.714285714285714,9.982251082251082,8.666666666666666,1015.5714285714286,1016.1428571428572,1017.1666666666666,1,72.27424242424242,66.81190476190476,74.0,51.285714285714285,71.33333333333333,0,1.2333333333333334,7.4,13.228571428571428,0,12.833333333333334
2013-01-14,12.833333333333334,11.914965986394558,14.0,10.21984126984127,6.0,1015.1666666666666,1015.5714285714286,1016.5,1,73.59861111111111,67.00238095238096,88.16666666666667,74.0,86.83333333333333,0,3.7,13.228571428571428,0.6166666666666667,0,14.714285714285714
2013-01-15,14.714285714285714,13.017006802721088,12.833333333333334,10.565567765567764,7.0,1015.8571428571428,1015.1666666666666,1020.0,1,73.46465201465202,66.03911564625851,71.85714285714286,88.16666666666667,78.6,0,6.3,0.6166666666666667,0.5285714285714286,0,13.833333333333334
2013-01-16,13.833333333333334,13.727891156462585,14.714285714285714,10.798979591836735,8.857142857142858,1016.6666666666666,1015.8571428571428,1018.7142857142856,1,74.40765306122448,69.31802721088435,86.66666666666667,71.85714285714286,63.714285714285715,0,7.142857142857143,0.5285714285714286,0.0,0,16.5
2013-01-17,16.5,14.08503401360544,13.833333333333334,11.17904761904762,14.0,1015.8333333333334,1016.6666666666666,1017.0,1,74.83603174603175,73.54421768707483,80.83333333333333,86.66666666666667,51.25,0,12.5,0.0,0.0,0,13.833333333333334
2013-01-18,13.833333333333334,14.489795918367347,16.5,11.344940476190477,11.0,1014.5,1015.8333333333334,1015.6666666666666,1,75.91919642857142,77.85374149659864,92.16666666666669,80.83333333333333,62.0,0,7.4,0.0,8.950000000000001,0,12.5
2013-01-19,12.5,14.03061224489796,13.833333333333334,11.412885154061623,15.714285714285714,1021.6666666666666,1014.5,1016.1428571428572,1,75.96316526610644,81.4795918367347,76.66666666666667,92.16666666666669,51.285714285714285,0,7.4,8.950000000000001,5.883333333333333,0,11.285714285714286
2013-01-20,11.285714285714286,13.642857142857142,12.5,11.405820105820103,14.0,1020.2857142857144,1021.6666666666666,1015.5714285714286,1,75.9255291005291,81.66326530612245,75.28571428571429,76.66666666666667,74.0,0,13.228571428571428,5.883333333333333,8.471428571428572,0,11.2
2013-01-21,11.2,13.409523809523808,11.285714285714286,11.394987468671678,12.833333333333334,1021.0,1020.2857142857144,1015.1666666666666,1,75.98208020050124,80.06802721088435,77.0,75.28571428571429,88.16666666666667,0,0.6166666666666667,8.471428571428572,2.22,0,9.5
2013-01-22,9.5,12.664625850340135,11.2,11.300238095238097,14.714285714285714,1021.8,1021.0,1015.8571428571428,1,76.16630952380953,81.18367346938776,79.66666666666667,77.0,71.85714285714286,0,0.5285714285714286,2.22,3.0833333333333335,0,14.0
2013-01-23,14.0,12.68843537414966,9.5,11.428798185941044,13.833333333333334,1020.5,1021.8,1016.6666666666666,1,75.4044217687075,77.39795918367348,60.166666666666664,79.66666666666667,86.66666666666667,0,0.0,3.0833333333333335,3.0833333333333335,0,13.833333333333334
2013-01-24,13.833333333333334,12.30748299319728,14.0,11.538095238095238,16.5,1020.5,1020.5,1015.8333333333334,1,74.73452380952381,74.5170068027211,60.666666666666664,60.166666666666664,80.83333333333333,0,0.0,3.0833333333333335,6.166666666666667,0,12.25
2013-01-25,12.25,12.0812925170068,13.833333333333334,11.56904761904762,13.833333333333334,1020.75,1020.5,1014.5,1,74.39824016563146,70.921768707483,67.0,60.666666666666664,92.16666666666669,0,8.950000000000001,6.166666666666667,5.55,0,12.666666666666666
2013-01-26,12.666666666666666,12.105102040816323,12.25,11.614781746031746,12.5,1019.6666666666666,1020.75,1021.6666666666666,1,74.08998015873016,69.54081632653062,67.0,67.0,76.66666666666667,0,5.883333333333333,5.55,6.800000000000001,0,12.857142857142858
2013-01-27,12.857142857142858,12.329591836734696,12.666666666666666,11.664476190476192,11.285714285714286,1018.1428571428572,1019.6666666666666,1020.2857142857144,1,73.7492380952381,68.15306122448979,65.57142857142857,67.0,75.28571428571429,0,8.471428571428572,6.800000000000001,5.557142857142857,0,14.833333333333334
2013-01-28,14.833333333333334,12.848639455782314,12.857142857142858,11.786355311355312,11.2,1017.8333333333334,1018.1428571428572,1021.0,1,73.06657509157509,65.15306122448979,56.0,65.57142857142857,77.0,0,2.22,5.557142857142857,3.7,0,14.125
